Stammesnr.;VCP-Land;Bezirk/Gau/Region;Stammesname;Stammesort;;;;;;;;;;;;;;
203808;Niedersachsen;Oldenburg;de butjenter Friesen;26969 Butjadingen;;;;;;;;;;;;;;
203809;Niedersachsen;Oldenburg;Wildgänse;26954 Nordenham;;;;;;;;;;;;;;
203810;Niedersachsen;Oldenburg;Boreas;26197 Großenkneten Sage;;;;;;;;;;;;;;
203811;Niedersachsen;Oldenburg;frei;;;;;;;;;;;;;;;
203812;Niedersachsen;Oldenburg;Die Brückenbiber;26676 Barßel Reekenfeld;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
203901;Niedersachsen;Teufelsmoor;Jan Torf;27711 Osterholz-Scharmbeck;;;;;;;;;;;;;;
203902;Niedersachsen;Teufelsmoor;J.C. Findorff;27726 Worpswede;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
204001;Niedersachsen;Elm;Stamm geflügelter Löwe ;38126 Braunschweig;;;;;;;;;;;;;;
204002;Niedersachsen;Elm;Johann Hinrich Wichern;38116 Braunschweig Lehndorf;;;;;;;;;;;;;;
204003;Niedersachsen;Elm;frei;;;;;;;;;;;;;;;
204004;Niedersachsen;Elm;Philipp Spitta;31228 Peine-Vöhrum;;;;;;;;;;;;;;
204005;Niedersachsen;Elm;St. Thomas;38104 Braunschweig Volkmarode;;;;;;;;;;;;;;
204006;Niedersachsen;Elm;Janusz Korczak;38102 Wolfenbüttel;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
204101;Niedersachsen;Paul Schneider;frei;;;;;;;;;;;;;;;
204102;Niedersachsen;Paul Schneider;Dietrich Bonhoeffer;38448 Wolfsburg;;;;;;;;;;;;;;
204103;Niedersachsen;Paul Schneider;Maria von Maltzan;38448 Wolfsburg;;;;;;;;;;;;;;
204199;Niedersachsen;Paul Schneider;Paul Schneider ohne Stammeszugehörigkeit;38448 Wolfsburg;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
204801;Niedersachsen;Wasserkante;Christopherus;27476 Cuxhaven;;;;;;;;;;;;;;
204802;Niedersachsen;Wasserkante;frei;;;;;;;;;;;;;;;
204803;Niedersachsen;Wasserkante;Kleiner Prinz;21643 Beckdorf;;;;;;;;;;;;;;
204804;Niedersachsen;Wasserkante;VCP Stamm Adiko Hammah;21714 Hammah;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
205001;Niedersachsen;Harz;Nikolaus von Amstorf;38640 Goslar;;;;;;;;;;;;;;
205002;Niedersachsen;Harz;Eomir ;37079 Göttingen Grone;;;;;;;;;;;;;;
205003;Niedersachsen;Harz;Aragon;37083 Göttingen Geismar;;;;;;;;;;;;;;
205004;Niedersachsen;Harz;Walkenried;37445 Walkenried;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
206101;Niedersachsen;Homburg;VCP Alfeld;31061 Alfeld (Leine);;;;;;;;;;;;;;
206102;Niedersachsen;Homburg;frei;;;;;;;;;;;;;;;
206103;Niedersachsen;Homburg;VCP Hehlen;37619 Hehlen bei Holzminden;;;;;;;;;;;;;;
206104;Niedersachsen;Homburg;Deutschritter;37632 Holzen;;;;;;;;;;;;;;
206105;Niedersachsen;Homburg;Stamm Hullersen;37574 Einbeck Hullersen;;;;;;;;;;;;;;
206106;Niedersachsen;Homburg;VCP Laurentius;29336 Nienhagen b. Celle;;;;;;;;;;;;;;
206107;Niedersachsen;Homburg;Martin Luther King;37603 Holzminden;;;;;;;;;;;;;;
206108;Niedersachsen;Homburg;Stamm Northeim;37154 Northeim;;;;;;;;;;;;;;
206109;Niedersachsen;Homburg;Stamm Salzderhelden;37574 Einbeck-Salzderhelden;;;;;;;;;;;;;;
206110;Niedersachsen;Homburg;Stamm Silberkranich;29549 Bad Bevensen Medingen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
